,index,Location_Coordinates,Location,Hospital_Name,State,District
62,76,"13.553374, 78.5065719","Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Shantharam Hospital,Andhra Pradesh,Chittoor
63,79,"14.6818877, 77.6005911","Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Sri Kaveri Speciality Hospital,Andhra Pradesh,Chittoor
64,80,"13.5603491, 78.5036065","Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Usha Speciality Hospital,Andhra Pradesh,Chittoor
65,81,"13.5603491, 78.5036065","D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Viswa Orthopaedic Hospital,Andhra Pradesh,Chittoor
66,83,"12.7279579, 78.3512397","Kuppam Palmaner Road,  - Chittoor",P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor
67,84,"12.7510218, 78.340196","Palace Road, Kuppam",Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor
68,85,"12.7470314, 78.3330157","A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Sri Priya Nursing Home,Andhra Pradesh,Chittoor
69,86,"13.6403071, 79.4176391","D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor
70,88,"13.6320156, 79.4260025","10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor
71,89,"13.217176, 79.1003289",Tirupti (B.I.R.R.D),Balaji Institute Of Surgery Research And Rehabilit,Andhra Pradesh,Chittoor
72,90,"13.6344095, 79.425573","413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor
73,91,"13.6338436, 79.4210045","No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor
74,92,"13.6338782, 79.4195997","398A, Doddapuram Street, Tirupati",Clinic Nisha,Andhra Pradesh,Chittoor
75,93,"13.6244611, 79.4310052","18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor
76,94,"13.6287557, 79.4191795",Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor
77,96,"13.6361446, 79.4204532","10-13-568,Reddy and Reddy Colony,Chittoor.",Harshitha Hospital,Andhra Pradesh,Chittoor
78,98,"13.6781837, 79.352188","D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",M S Hospital,Andhra Pradesh,Chittoor
79,99,"13.6287557, 79.4191795","138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",M.M Hospital,Andhra Pradesh,Chittoor
80,101,"13.6302513, 79.4118237","548, R.R. Colony,Tirupati-",Manohari Nursing Home,Andhra Pradesh,Chittoor
81,102,"13.6287557, 79.4191795","538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Meghana Hospital,Andhra Pradesh,Chittoor
82,104,"13.217176, 79.1003289",2-2-349 K.V. Layout,Navya Netralaya Eye Hospital,Andhra Pradesh,Chittoor
83,105,"13.6390013, 79.4272041","18-2-246, Road No-1 Abbanna Colony Tirupati",Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor
84,106,"13.6287557, 79.4191795","18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Nirmala Hospitals,Andhra Pradesh,Chittoor
85,107,"13.6361446, 79.4204532","10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Om Children Surgical Superspeciality Centre,Andhra Pradesh,Chittoor
86,108,"13.6287557, 79.4191795",10 - 3 - 206 Kotakommala Street Tirupati,Prameela Hospital,Andhra Pradesh,Chittoor
87,109,"13.6338436, 79.4210045",": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Prashanth Hospital,Andhra Pradesh,Chittoor
88,111,"13.6244611, 79.4310052","10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Raghavendra Urological Super Speciality Hospital (Russh Hospital),Andhra Pradesh,Chittoor
89,112,"13.6361446, 79.4204532","535, Reddy and Reddy Colony, Tirupati",Rama Nursing Home,Andhra Pradesh,Chittoor
90,114,"13.6365271, 79.4127143","-4-566, Nehru Nagar, Tirupathi, Chittoor",Ramya Hospital,Andhra Pradesh,Chittoor
91,115,"13.6287557, 79.4191795","576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Ravi Neuro and Emergency Hospital - Chittoor,Andhra Pradesh,Chittoor
92,116,"13.6361446, 79.4204532","548, Reddy and Reddy Colony,Tirupati-517501",Sakthi Medicals,Andhra Pradesh,Chittoor
93,117,"13.6368739, 79.4144319","101, Sarojinideavi Road, Tirupati",Shyamala Nursing Home,Andhra Pradesh,Chittoor
94,118,"13.6157076, 79.4125828","D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor
95,119,"13.6361446, 79.4204532","10-13-496, Reddy and Reddy Colony, Tirupati",Sri Chakra Hospitals,Andhra Pradesh,Chittoor
96,120,"23.0866456, 72.5630236","6-1-46, R.S.Gardens Tirupathi",Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor
97,121,"13.6388217, 79.4204627",T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor
98,123,"13.6361446, 79.4204532","521, Reddy and Reddy Colony, Chittor, Tirupati,",Sri Sai Sudha Hospitals,Andhra Pradesh,Chittoor
99,124,"13.217176, 79.1003289",Tirupathi,Sri Suraksha Hospital,Andhra Pradesh,Chittoor
100,125,"13.217176, 79.1003289","No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Andhra Pradesh,Chittoor
101,126,"13.6287557, 79.4191795",Tirupati,Sri Venkateshwara Institute Of Medical Sciences,Andhra Pradesh,Chittoor
102,127,"26.896961, 75.792554","No. 20-03-88G, Siva Jyothi Nagar,",Sri Venkateswara Hospitals,Andhra Pradesh,Chittoor
103,129,"13.6287557, 79.4191795","216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Srinivasa Super Speciality Hospital,Andhra Pradesh,Chittoor
104,130,"13.6361446, 79.4204532","515,Reddy Reddy Colony, Tirupati",Suguna Nursing Home,Andhra Pradesh,Chittoor
105,131,"13.6095995, 79.4489169","326,Nethaji Road,Tirupathi",Sviss Hospital,Andhra Pradesh,Chittoor
106,132,"13.6287557, 79.4191795","6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Swaranamrutha Hospital,Andhra Pradesh,Chittoor
107,135,"13.6361446, 79.4204532","525,Reddy  and Reddy Colony,Tirupathi-",Triveni Child Care Hospital,Andhra Pradesh,Chittoor
108,138,"13.6358027, 79.420805","10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Venkataramana Heart And Maternity Hospital,Andhra Pradesh,Chittoor
109,139,"13.639101, 79.4177213","6-2-88, Old Maternity Hospital Road, Tirupati",Vision Care Clinic,Andhra Pradesh,Chittoor
110,140,"13.6335087, 79.4170539","D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Elite Hospital,Andhra Pradesh,Chittoor
111,141,"13.217176, 79.1003289",13-7-936/6 Tuda Road,Maha Hospitals,Andhra Pradesh,Chittoor
112,142,"28.6779455, 77.3103012","502,B, 1St Floor, Opp Sbi Kt Road",Vennela Super Speciality Eye and Dental Hospital,Andhra Pradesh,Chittoor
113,144,"13.6452591, 79.419089","K. T. Road, Tirupati",Manasa Kidney Foundation,Andhra Pradesh,Chittoor
114,145,"13.6370231, 79.4206271","V.V.Mahal Road, Tirupathi",Rushh Hospital,Andhra Pradesh,Chittoor
115,148,"13.6287557, 79.4191795","6-1-12A, Beside Old Maternity Hospital, Tirupati",Swarna E.N.T Super Speciality Hosptial,Andhra Pradesh,Chittoor
116,149,"13.633255, 79.4552064","91,Old M.H.Road,1/1,Tirupathi,Chittoor",Swarnamurtha Hospital,Andhra Pradesh,Chittoor
117,150,"12.7686756, 75.2070644","3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Sri Sai Nursing Home,Andhra Pradesh,Chittoor
118,151,"13.3200519, 79.585628","Nagari-517590, Chittoor",C.S.I. Hospital,Andhra Pradesh,Chittoor
119,153,"13.7392101, 79.7119419","Door No-7/370, Nagarchipalem, Srikalahasti-517644",Chaitanya Childrens Hospital,Andhra Pradesh,Chittoor
120,154,"13.217176, 79.1003289","7-723,,Kothapet.",Eswari Nursing Home,Andhra Pradesh,Chittoor
121,155,"13.217176, 79.1003289",",Kothapet.",Sai Kanthi Eye Hospital,Andhra Pradesh,Chittoor
122,156,"22.5657131, 88.3557301","V R Temple Street, Nehru Road,",Vani Priya Hospital,Andhra Pradesh,Chittoor
123,159,"14.480391, 78.8340173","6/1565, Sankara Puram Kadapa",Balaji Nursing Home,Andhra Pradesh,Y.S.R.
124,162,"17.6651796, 75.8970483",3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Jyothi Nursing Home,Andhra Pradesh,Y.S.R.
125,163,"19.0266349, 72.8594614","3/224, Upendra Complex,",K.C.M. Hospital,Andhra Pradesh,Y.S.R.
126,165,"14.4701485, 78.8297701",21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Palla Krishnaiah Memorial And Nursing Home,Andhra Pradesh,Y.S.R.
127,170,"14.4701485, 78.8297701",3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Sri Krishna Sahithi Eye Hospital,Andhra Pradesh,Y.S.R.
128,171,"14.4783864, 78.8252721","Madras Road, Kadapa",Srija Rainbow Childrens Hospital,Andhra Pradesh,Y.S.R.
129,173,"14.686981, 78.3909238","17/48, Kapu Street, Jammalamadugu",Tata Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.
130,177,"14.4701485, 78.8297701",3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Vurimi Savitramma Cardiac Centre,Andhra Pradesh,Y.S.R.
131,179,"14.480391, 78.8340173","6/1414, Sankarapuram",Dr G R K R Multi Speciality Hospitals,Andhra Pradesh,Y.S.R.
132,181,"18.000695, -76.8938358","D.No.3/221,Christian Lane,Near 7 Roads.",Remedy Hospital,Andhra Pradesh,Y.S.R.
133,182,"13.0311046, 80.2720822","6-880, Madras Road Sankarapuram",Sri Satya Sai Hospital,Andhra Pradesh,Y.S.R.
134,184,"17.7266953, 83.3054733","1/706 - 3, Dwarakanagar",Usha Rani Nursing Home,Andhra Pradesh,Y.S.R.
135,185,"13.9518505, 79.3492863","10/596 M. G. Road Rly. Kodur, Kadapa",Vishnu Nursing Home,Andhra Pradesh,Y.S.R.
136,186,"14.1965314, 79.1563718",Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Sree Durgaa Nursing Home,Andhra Pradesh,Y.S.R.
137,187,"14.2050808, 79.1549173","6/133, R S Road Rajampet Rajampet 516115 : Kadapa",Sri Sai Nursing Home,Andhra Pradesh,Y.S.R.
138,189,"14.0585458, 78.7518863","Harinatha Street, Rayachoty,  Kadapa.",Madhavi Nursing Home,Andhra Pradesh,Y.S.R.
139,191,"14.7491864, 78.5531577","3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360  Kadapa",Abhilash Netra Vidyasala,Andhra Pradesh,Y.S.R.
140,192,"14.7500333, 78.5478809","Gandhi Road, Proddatur (P.O.), . Kadapa",B. G. R. Hospital,Andhra Pradesh,Y.S.R.
141,193,"14.7500333, 78.5478809","Near Gabdhi Statue, Gandhi Road, Proddatur",Bhavya Nursing Home,Andhra Pradesh,Y.S.R.
142,194,"14.7491864, 78.5531577",Gandhi Road Proddutur Proddatur 516360  Kadapa,Cnr Nursing Home,Andhra Pradesh,Y.S.R.
143,197,"14.7528736, 78.5514834","3 / 1467, Holmespet Proddatur",Kalyana Chakravarthy Hospitals - Proddatur,Andhra Pradesh,Y.S.R.
144,198,"14.7512835, 78.5497493","8/399, Swayam Sevak Road, Proddatur",Kathya Nursing Home,Andhra Pradesh,Y.S.R.
145,199,"26.1781993, 91.773379","No. 5/1895, Gandhi Road,Geetha Ashram Street,",Lakshmi Kishore Hospital,Andhra Pradesh,Y.S.R.
146,201,"14.7491864, 78.5531577","Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur",Orthopaedic And Maternity Hospital,Andhra Pradesh,Y.S.R.
147,203,"14.7500333, 78.5478809","8/700, OppositePosina Compound, Gandhi Road,Proddatur",Shree Veja Nursing Home,Andhra Pradesh,Y.S.R.
148,204,"14.7500333, 78.5478809","4/626,Gandhi Road,Proddatur",Siva Nursing Home,Andhra Pradesh,Y.S.R.
149,208,"14.7600159, 78.5393058","T. B. Road, t. Kaddapa",Swarup Eye Hospital and Laser Center,Andhra Pradesh,Y.S.R.
150,209,"14.7491864, 78.5531577",Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur 516360  Kadapa,Vaatsalya Hospital,Andhra Pradesh,Y.S.R.
151,210,"14.7500333, 78.5478809","Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur",Vijaya Eye Hospital,Andhra Pradesh,Y.S.R.
152,212,"14.7528736, 78.5514834",Holmespet Proddatur Kadapa,Nikhil Nursing Home,Andhra Pradesh,Y.S.R.
153,213,"14.686981, 78.3909238","17-48, Kapu Street, Jammalamadugu Kadapa Andra Pradesh",Sree Tati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.
154,214,"14.6857186, 78.3909785","17/48, Kapu Street Jammalamadugu Kadapa 516434 : Kadapa",Sri Thati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.
155,215,"14.8474197, 78.3899108","M D O Office Road, Jammalamadugu,Kadapa",Venkata Sai Baradwaja Hospital,Andhra Pradesh,Y.S.R.
156,216,"32.458567, 74.5000465","20-1-61, Opposite L. I. C. Building, Main Road",7 Star Superspeciality Hospital,Andhra Pradesh,East Godavari
157,217,"17.0769388, 82.1385327","13-1-3, Main Road, Kakinada",Apollo Samudra Hospitals,Andhra Pradesh,East Godavari
158,218,"16.9890648, 82.2474648",Kakinada,Bharani Hospital,Andhra Pradesh,East Godavari
159,219,"29.5160925, 74.5877445","Near Ii Town Police Station,Main Road.",Care Emergency Hospital,Andhra Pradesh,East Godavari
160,220,"16.9837142, 82.2404611",Kakinada,Christian Cancer Center,Andhra Pradesh,East Godavari
161,222,"16.9482342, 82.2528975","P R College Road, Opp Govt Hospitals P R College Road Kakinada 533001  East Godavari",Haritha Hospitals,Andhra Pradesh,East Godavari
162,223,"16.9890648, 82.2474648",Kakinada,Kakinada Nursing Home,Andhra Pradesh,East Godavari
163,224,"17.0769388, 82.1385327","13-1-13, Main Road, Kakinada",Life Line Emergency Hospital,Andhra Pradesh,East Godavari
164,225,"16.9640729, 82.2329395",11-11-3/1 Prabhakara Street Ramaraopeta Kakinada 533001  East Godavari,Raghava 24 Hrs Emergency Hospital,Andhra Pradesh,East Godavari
165,228,"16.9482342, 82.2528975","21-1-24,Jawahar Street,Shalypet, Kakinada : 533001",Sai Sudha Hospital,Andhra Pradesh,East Godavari
166,230,"16.9558071, 82.2330899","Dno:21-1-29, Jawahar St, Kakinada",Shravani Ent Hospital,Andhra Pradesh,East Godavari
167,231,"16.954694, 82.2327304","34-1-20, Temple Street, rict East Godawari, Kakinada,",Siddhartha Hospital,Andhra Pradesh,East Godavari
168,233,"16.9890648, 82.2474648","Nageswara Rao Street,Ramrao Pet,Kakinada",Sri Gowthami Nursing Home,Andhra Pradesh,East Godavari
169,234,"16.9510095, 82.2365598","Cinema Street, Opp Anandabharathi, Cinema Street Kakinada 533001  East Godavari",Sri Lalitha Hospitals Institute Of Lap Surgery And Training,Andhra Pradesh,East Godavari
170,235,"16.9890648, 82.2474648","7-3-15 Prakash St, Ramarao Peta, Kakinada",Sri Srinivasa Orthopaedic Centre and Nursing Home,Andhra Pradesh,East Godavari
171,236,"17.0005383, 81.8040345",Rajahmundry,Srihitha Children Hospital,Andhra Pradesh,East Godavari
172,238,"16.9639769, 82.2236918",Jawahar Street Kakinada Kakinada 533001  East Godavari,Vijaya Nursing Home,Andhra Pradesh,East Godavari
173,239,"17.0005383, 81.8040345",Rajahmundry,Vishwanadha Eye and Maternity Hospital,Andhra Pradesh,East Godavari
174,240,"34.1255413, 74.9442585","Endowments Colony, 100 Building Centre Srinagar",Bhanu Nursing Home and Eye Hospital,Andhra Pradesh,East Godavari
175,242,"16.9754085, 82.2352397","2-4-10 Near Suruchi Sweet Stall, Behind Padmapriva Theatre, Bhanugudi Junction, Kakinada",Mother and Child Hospital,Andhra Pradesh,East Godavari
176,243,"16.9695602, 82.2388249","2-10-50 Srinagar, Bhanugudi Junction Kakinada 533003  East Godavari",Nayana Eye Care,Andhra Pradesh,East Godavari
177,244,"16.9506495, 82.2333585","Ganjamvari Street, Kakinada",Ramalingeswara Nursing Home,Andhra Pradesh,East Godavari
178,246,"16.9890648, 82.2474648","Lig No.6,100 Building Complex Road, Kakinada",Saipriya Maternity Hospital,Andhra Pradesh,East Godavari
179,248,"16.9890648, 82.2474648","11-5-9, Gopalakrishna Street,Ramaraopeta, Kakinada",Kasturi Nursing Home,Andhra Pradesh,East Godavari
180,249,"12.6670587, 79.2782323","Gandhi Nagar, Gandhi Nagar",Poly Clinic and Hospital,Andhra Pradesh,East Godavari
181,250,"16.9890648, 82.2474648","11-5-10, Gopala Krishna Street, Ramaraopet,Kakinada",Ravichandra Hospital,Andhra Pradesh,East Godavari
182,251,"16.9663046, 82.2270885",: 11-11-1 Ramaraopet Kakinada 533004  East Godavari,Sanjivi Orthopaedic Hospital,Andhra Pradesh,East Godavari
183,252,"16.9890648, 82.2474648","8-5-19/1, Ontimamidi Junction, Gandhinagar, Kakinada",Sri Sai Raghavendra Super Specialities Hospital,Andhra Pradesh,East Godavari
184,253,"16.9890648, 82.2474648","10-7-39, Kopellavari Street Ramaraopet(Near Duper Bazar),Kakinada",Sri Venkata Chalapathi Nursing Home,Andhra Pradesh,East Godavari
185,255,"16.9890648, 82.2474648",Venugopal Nursing Home Kamalendera Nath Street Narasanana Nagar Kakinada,Sri Venugopal Hospital,Andhra Pradesh,East Godavari
186,256,"16.9663046, 82.2270885","10-5-8, Nageswara Rao Street, Rama Rao Pet 2Nd Junction Kakinada 533004  East Godavari",Sudha Urology And Andrology Hospital,Andhra Pradesh,East Godavari
